,title,category,composer,year,epoch,country,stars
76,"String Quartet No. 8 in C Minor, Op. 110",String Quartet,Dmitri Shostakovich,1960,20th Century,Russia,432
77,"Violin Concerto in D Major, Op. 61",Violin Concerto,Ludwig van Beethoven,1806,Early Romantic,Germany,428
78,"Violin Concerto in D Minor, Op. 47",Violin Concerto,Jean Sibelius,1905,Late Romantic,Finland,424
79,"Nocturnes (Trois Nocturnes), L. 91",Unsorted Orchestral,Claude Debussy,1899,Late Romantic,France,421
80,"Don Giovanni, K. 527",Opera,Wolfgang Amadeus Mozart,1787,Classical,Austria,419
81,"Tristan und Isolde (Tristan and Isolde), WWV 90",Opera,Richard Wagner,1859,Romantic,Germany,413
82,"String Quartet No. 14 in D Minor (Death and the Maiden), D. 810",String Quartet,Franz Schubert,1824,Early Romantic,Austria,409
83,"Prélude à l'après-midi d'un faune (Prelude to the Afternoon of a Faun), L. 86",Symphonic Poem,Claude Debussy,1894,Late Romantic,France,403
84,"Also sprach Zarathustra (Thus Spoke Zarathustra), Op. 30",Symphonic Poem,Richard Strauss,1896,Late Romantic,Germany,398
85,"Symphony No. 25 in G Minor, K. 183/173dB",Symphony,Wolfgang Amadeus Mozart,1773,Classical,Austria,396
86,"Piano Concerto No. 2 in B-flat Major, Op. 83",Piano Concerto,Johannes Brahms,1881,Romantic,Germany,395
87,Ave Maria,Choral orchestral,Charles Gounod,1853,Romantic,France,391
88,"Tannhäuser, WWV 70",Opera,Richard Wagner,1845,Romantic,Germany,387
89,"Piano Sonata No. 32 in C Minor, Op. 111",Piano Sonata,Ludwig van Beethoven,1822,Early Romantic,Germany,387
90,"String Quartet No. 14 in C-sharp Minor, Op. 131",String Quartet,Ludwig van Beethoven,1826,Early Romantic,Germany,386
91,"Slavonic Dances, 46 & 72",Unsorted Orchestral,Antonín Dvořák,1886,Romantic,Czech Republic,381
92,"Violin Concerto No. 1 in G Minor, Op. 26",Violin Concerto,Max Bruch,1866,Romantic,Germany,374
93,"Symphony No. 2 in E Minor, Op. 27",Symphony,Sergei Rachmaninoff,1907,Late Romantic,Russia,373
94,"Piano Concerto No. 23 in A Major, K. 488",Piano Concerto,Wolfgang Amadeus Mozart,1786,Classical,Austria,372
95,"Cello Sonata No. 1 in E Minor, Op. 38",Cello Sonata,Johannes Brahms,1865,Romantic,Germany,360
96,"Cello Concerto in E Minor, Op. 85",Cello Concerto,Edward Elgar,1919,Late Romantic,England,358
97,"Violin Concerto No. 2 in E Major, BWV 1042",Violin Concerto,Johann Sebastian Bach,-1,Baroque,Germany,355
98,Pavane pour une infante défunte (Pavane for a Dead Princess),Unsorted Orchestral,Maurice Ravel,1899,Late Romantic,France,354
99,"Requiem in D Minor, Op. 48",Mass / Requiem,Gabriel Fauré,1890,Late Romantic,France,351
100,"Orchestral suites, BWV 1066-1069",Unsorted Orchestral,Johann Sebastian Bach,-1,Baroque,Germany,348
101,"Cello Concerto in B Minor, 104, B. 191",Cello Concerto,Antonín Dvořák,1895,Romantic,Czech Republic,347
102,"Violin Sonata No. 18 in G Major, 301/293a",Violin Sonata,Wolfgang Amadeus Mozart,1778,Classical,Austria,342
103,"Passacaglia and Fugue in C Minor, BWV 582",Organ,Johann Sebastian Bach,1713,Baroque,Germany,341
104,"4 Impromptus, D. 899",Piano Sonata,Franz Schubert,1827,Early Romantic,Austria,335
105,"Piano Concerto No. 2 in F Major, Op. 102",Piano Concerto,Dmitri Shostakovich,1957,20th Century,Russia,329
106,Aida,Opera,Giuseppe Verdi,1871,Romantic,Italy,319
107,"Symphony No. 9 in C Major (The Great C major), D. 944",Symphony,Franz Schubert,1828,Early Romantic,Austria,317
108,"Préludes, L. 117 & L.123",Piano Sonata,Claude Debussy,1913,Late Romantic,France,316
109,"String Quintet in C Major (Cello Quintet), posth. 163",String Quintet,Franz Schubert,1828,Early Romantic,Austria,315
