,title,category,composer,year,epoch,country,stars
512,"Piano Concerto No. 1, Sz. 83, BB 91",Piano Concerto,Béla Bartók,1926,20th Century,Hungary,6
513,"Piano Trio No. 1 in F-sharp Minor, Op. 1",Piano Trio,César Franck,1840,Romantic,Belgium,6
514,Spartacus,Ballet,Aram Khachaturian,1954,20th Century,Armenia,6
515,"Bagatelles, Op. 126",Piano Sonata,Ludwig van Beethoven,-1,Early Romantic,Germany,6
516,Sonata for Solo Cello,String solo,György Ligeti,1953,Post-War,Hungary,6
517,"Romance in F Minor, Op. 11, B. 39",Violin Concerto,Antonín Dvořák,1877,Romantic,Czech Republic,6
518,"Violin Sonata No. 27 in G Major, K. 379/373a",Violin Sonata,Wolfgang Amadeus Mozart,1781,Classical,Austria,6
519,Choir Concerto,Chant,Alfred Schnittke,1985,Post-War,Russia,6
520,"Solomon, HWV 67",Choral orchestral,George Frideric Handel,1748,Baroque,Germany,6
521,Violin Concerto No. 1,Violin Concerto,Philip Glass,1987,Post-War,United States,6
522,"Goyescas (Los Majos Enamorados), Op. 11",Piano Sonata,Enrique Granados,1911,Late Romantic,Spain,6
523,"Piano Concerto No. 1 in D-flat Major, Op. 10",Piano Concerto,Sergei Prokofiev,1912,20th Century,Russia,6
524,"King Arthur, Z. 628",Opera,Henry Purcell,1691,Baroque,England,6
525,"Rinaldo, HWV 7",Opera,George Frideric Handel,1711,Baroque,Germany,6
526,"Piano Sonata No. 18, Op. 31 No. 3",Piano Sonata,Ludwig van Beethoven,1802,Early Romantic,Germany,6
527,"Choral Fantasy in C Minor (Chorphantasie), Op. 80",Voice and Orchestra,Ludwig van Beethoven,1808,Early Romantic,Germany,6
528,The Photographer,Voice and Orchestra,Philip Glass,1982,Post-War,United States,6
529,Electric Counterpoint,Unsorted Orchestral,Steve Reich,1987,Post-War,United States,6
530,"Piano Sonata No. 2 in B-flat Minor, Op. 36",Piano Sonata,Sergei Rachmaninoff,1913,Late Romantic,Russia,6
531,"12 Spanish Dances (Danzas Españolas), Op. 37",Piano Sonata,Enrique Granados,1890,Late Romantic,Spain,6
532,Macbeth,Opera,Giuseppe Verdi,1847,Romantic,Italy,6
533,Mazeppa,Symphonic Poem,Franz Liszt,1851,Romantic,Hungary,6
534,"Piano Sonata No. 15 in D Major (Pastorale), Op. 28",Piano Sonata,Ludwig van Beethoven,1801,Early Romantic,Germany,6
535,"Toccatas, BWV 910-916",Piano Sonata,Johann Sebastian Bach,-1,Baroque,Germany,6
536,"Piano Concerto No. 2 in A Major, S. 125",Piano Concerto,Franz Liszt,1840,Romantic,Hungary,6
537,"Festive Overture in A Major, Op. 96",Unsorted Orchestral,Dmitri Shostakovich,1954,20th Century,Russia,6
538,Symphony No. 10,Symphony,Gustav Mahler,1910,Late Romantic,Austria,6
539,In a Landscape,Piano Sonata,John Cage,1948,Post-War,United States,6
540,"Symphony No. 2 in C Minor (Little Russian), Op. 17",Symphony,Pyotr Ilyich Tchaikovsky,1872,Romantic,Russia,6
541,"Double Concerto for Two String Orchestras, Piano, and Timpani, H. 271",Unsorted Orchestral,Bohuslav Martinů,1938,20th Century,Czech Republic,6
542,"Symphony No. 29 in A Major, K. 201/186a",Symphony,Wolfgang Amadeus Mozart,1774,Classical,Austria,6
543,Piano Concerto in F,Piano Concerto,George Gershwin,1925,20th Century,United States,6
544,"Lemminkäinen Suite, Op. 22",Unsorted Orchestral,Jean Sibelius,1895,Late Romantic,Finland,6
545,"Piano Sonata No. 4 in E-flat Major (Grand Sonata), Op. 7",Piano Sonata,Ludwig van Beethoven,1796,Early Romantic,Germany,6
546,"Symphony No. 45 in F-sharp Minor (Farewell), Hob. I/45",Symphony,Joseph Haydn,1772,Classical,Austria,6
547,Symphony in C,Symphony,Igor Stravinsky,1940,20th Century,Russia,6
548,"Piano Quintet in G Minor, Op. 57",Piano Quintet,Dmitri Shostakovich,1940,20th Century,Russia,5
549,"Russian Easter Festival Overture, Op. 36",Unsorted Orchestral,Nikolai Rimsky-Korsakov,1888,Romantic,Russia,5
550,"Oboe Concerto in C Major, K. 314",Wind Concerto,Wolfgang Amadeus Mozart,1777,Classical,Austria,5
551,Violin Concerto in D Minor,Violin Concerto,Aram Khachaturian,1940,20th Century,Armenia,5
552,"Piano Quintet in F Minor, Op. 7",Piano Quintet,César Franck,1880,Romantic,Belgium,5
553,"Piano Sonata No. 20 in A Major, D. 959",Piano Sonata,Franz Schubert,1828,Early Romantic,Austria,5
554,"Così fan tutte, K. 588",Opera,Wolfgang Amadeus Mozart,1790,Classical,Austria,5
555,Clarinet Concerto,Wind Concerto,Aaron Copland,1949,20th Century,United States,5
556,"Romanian Rhapsodies, Op. 11",Unsorted Orchestral,George Enescu,1901,Late Romantic,Romania,5
557,"Cello Sonata No. 3 in A Major, Op. 69",Cello Sonata,Ludwig van Beethoven,1808,Early Romantic,Germany,5
558,"Piano Trio No. 1 in B-flat Major, D. 898",Piano Trio,Franz Schubert,1827,Early Romantic,Austria,5
559,"Chromatic Fantasia and Fugue in D Minor, BWV 903",Piano Sonata,Johann Sebastian Bach,1723,Baroque,Germany,5
560,"Violin Concerto No. 4 in D Major, K. 218",Violin Concerto,Wolfgang Amadeus Mozart,1775,Classical,Austria,5
561,"Violin Concerto in A Minor, 53 (B.108)",Violin Concerto,Antonín Dvořák,1879,Romantic,Czech Republic,5
562,"Cello Sonata, Op. 104",Cello Sonata,Johann Nepomuk Hummel,1824,Early Romantic,Austria,5
563,"Fantasie in C Major, D. 934",Violin Sonata,Franz Schubert,1827,Early Romantic,Austria,5
564,Cantus in Memoriam Benjamin Britten,Unsorted Orchestral,Arvo Pärt,1977,Post-War,Estonia,5
565,"Fantasia No. 3 in D Minor, K. 397/385g",Piano Sonata,Wolfgang Amadeus Mozart,1782,Classical,Austria,5
566,"Divertimento in E-flat Major, K. 563",String Trio,Wolfgang Amadeus Mozart,1788,Classical,Austria,5
567,"Six Sonatas for Violin and Harpsichord, BWV 1014–1019",Violin Sonata,Johann Sebastian Bach,1723,Baroque,Germany,5
568,"Violin Concerto in D Major, Op. 35",Violin Concerto,Erich Wolfgang Korngold,1945,20th Century,Austria,5
569,"Symphony No. 5 in B-flat Major (Tragic), WAB 105",Symphony,Anton Bruckner,1876,Romantic,Austria,5
570,"Septet in E-flat Major, Op. 65",Septet,Camille Saint-Saëns,1880,Romantic,France,5
571,"Symphony No. 36 in C Major (Linz Symphony), K. 425",Symphony,Wolfgang Amadeus Mozart,1783,Classical,Austria,5
572,"String Quartet No. 12 in C Minor (Quartettsatz), D. 703",String Quartet,Franz Schubert,1820,Early Romantic,Austria,5
573,Orpheus,Symphonic Poem,Franz Liszt,1854,Romantic,Hungary,5
574,"Neue Pizzicato Polka, Op. 449",Unsorted Orchestral,Johann Strauss II,1892,Romantic,Austria,5
575,"Piano Sonata No. 6 in A Major, Op. 82",Piano Sonata,Sergei Prokofiev,1940,20th Century,Russia,5
576,La Cenerentola,Opera,Gioachino Rossini,1817,Early Romantic,Italy,5
577,"Karelia Suite, Op. 11",Unsorted Orchestral,Jean Sibelius,1893,Late Romantic,Finland,5
578,Piano Quartet in A Minor,Piano Quartet,Gustav Mahler,1876,Late Romantic,Austria,5
579,"Keyboard Suites, HWV 426-441",Piano Sonata,George Frideric Handel,-1,Baroque,Germany,5
580,The Gypsy Baron (Der Zigeunerbaron),Opera,Johann Strauss II,1885,Romantic,Austria,5
581,"Sonata for Two Pianos and Percussion, Sz. 110",Unsorted Chamber,Béla Bartók,1937,20th Century,Hungary,5
582,Symphony: Mathis der Maler,Symphony,Paul Hindemith,1934,20th Century,Germany,5
583,"Piano Concerto No. 5 in F Major (The Egyptian), Op. 103",Piano Concerto,Camille Saint-Saëns,1896,Romantic,France,5
584,Sonatine,Piano Sonata,Maurice Ravel,1905,Late Romantic,France,5
585,"Pelleas und Melisande, Op. 5",Symphonic Poem,Arnold Schoenberg,1903,20th Century,Austria,5
586,"Inventions and Sinfonias (Two- and Three-Part Inventions), BWV 772–801",Piano Sonata,Johann Sebastian Bach,-1,Baroque,Germany,5
587,"Prometheus: The Poem of Fire, Op. 60",Symphonic Poem,Alexander Scriabin,1910,Late Romantic,Russia,5
588,"Piano Concerto in G Minor, Op. 33",Piano Concerto,Antonín Dvořák,1876,Romantic,Czech Republic,5
589,"Salome, Op. 54",Opera,Richard Strauss,1905,Late Romantic,Germany,5
590,"32 Variations in C minor, WoO 80",Piano Sonata,Ludwig van Beethoven,1806,Early Romantic,Germany,5
591,"Italian Concerto (Italienisches Konzert), BWV 971",Piano Sonata,Johann Sebastian Bach,1735,Baroque,Germany,5
592,"String Quintet No. 3 in C Major, K. 515",String Quintet,Wolfgang Amadeus Mozart,1787,Classical,Austria,5
593,"Cello Concerto No. 2 in D Major, Hob. VIIb/2, Op. 101",Cello Concerto,Joseph Haydn,1783,Classical,Austria,5
594,Lieder eines fahrenden Gesellen (Songs of a Wayfarer),Lieder / Song,Gustav Mahler,1885,Late Romantic,Austria,5
595,Symphony No. 2 (Antar),Symphony,Nikolai Rimsky-Korsakov,1868,Romantic,Russia,5
596,"Die Entführung aus dem Serail (The Abduction from the Seraglio), K. 384",Opera,Wolfgang Amadeus Mozart,1782,Classical,Austria,5
597,"Piano Sonata No. 24 in F-sharp Major (à Thérèse), Op. 78",Piano Sonata,Ludwig van Beethoven,1809,Early Romantic,Germany,5
598,"Piano Sonata No. 13 in E-flat Major (Quasi una fantasia), Op. 27 No. 1",Piano Sonata,Ludwig van Beethoven,1801,Early Romantic,Germany,5
599,"Aria Variata alla Maniera Italiana in A Minor, BWV 989",Piano Sonata,Johann Sebastian Bach,1709,Baroque,Germany,5
600,"Symphony No. 35 in D Major (Haffner Symphony), K. 385",Symphony,Wolfgang Amadeus Mozart,1782,Classical,Austria,5
601,"Symphony No. 3 (Sinfonia Espansiva), Op. 27, FS 60",Symphony,Carl Nielsen,1911,Late Romantic,Denmark,5
602,"String Quartet No. 10 in E-flat Major (Harp), Op. 74",String Quartet,Ludwig van Beethoven,1809,Early Romantic,Germany,5
603,"Piano Sonata No. 3 in B Minor, Op. 58",Piano Sonata,Frédéric Chopin,1844,Romantic,Poland,5
604,L'italiana in Algeri (The Italian Girl in Algiers),Opera,Gioachino Rossini,1813,Early Romantic,Italy,5
605,"Images, L. 110 & L. 111",Piano Sonata,Claude Debussy,1907,Late Romantic,France,5
606,Harmonielehre,Unsorted Orchestral,John Adams,1985,Post-War,United States,5
607,"Violin Concerto in E Major (L'Amoroso), RV 271",Violin Concerto,Antonio Vivaldi,-1,Baroque,Italy,5
608,La donna del lago,Opera,Gioachino Rossini,1819,Early Romantic,Italy,5
609,Symphony No. 3 (A Pastoral Symphony),Symphony,Ralph Vaughan Williams,1922,Late Romantic,England,5
610,Symphony No. 5 in D Major,Symphony,Ralph Vaughan Williams,1943,Late Romantic,England,5
611,"The Queen of Spades, Op. 68",Opera,Pyotr Ilyich Tchaikovsky,1889,Romantic,Russia,5
612,"Piano Sonata No. 12 in A-flat Major, Op. 26",Piano Sonata,Ludwig van Beethoven,1801,Early Romantic,Germany,5
613,"String Quartet No. 5 in A Major, Op. 18 No. 5",String Quartet,Ludwig van Beethoven,1800,Early Romantic,Germany,5
614,"Symphony No. 49 in F Minor (La passione), Hoboken 1/49",Symphony,Joseph Haydn,1768,Classical,Austria,5
615,"Symphony No. 31 in D Major (Paris Symphony), 297/300a",Symphony,Wolfgang Amadeus Mozart,1778,Classical,Austria,5
616,"String Quartet No. 9 in E-flat Major, Op. 117",String Quartet,Dmitri Shostakovich,1964,20th Century,Russia,5
617,"Piano Concerto No. 4 in G Minor, Op. 40",Piano Concerto,Sergei Rachmaninoff,1926,Late Romantic,Russia,5
618,"Francesca da Rimini, Op. 32",Symphonic Poem,Pyotr Ilyich Tchaikovsky,1876,Romantic,Russia,5
619,The Prince of the Pagodas,Ballet,Benjamin Britten,1956,20th Century,England,5
620,"Symphony No. 46 in B Major, Hob. I/46",Symphony,Joseph Haydn,1772,Classical,Austria,5
621,"Piano Sonata No. 13 in B-flat Major, K. 333",Piano Sonata,Wolfgang Amadeus Mozart,1783,Classical,Austria,5
622,4′33″,Piano Sonata,John Cage,1952,Post-War,United States,5
623,"Variations on a Theme of Chopin, Op. 22",Piano Sonata,Sergei Rachmaninoff,1903,Late Romantic,Russia,5
624,"String Quartet No. 2 in D Minor, JB 1:124",String Quartet,Bedřich Smetana,1883,Romantic,Czech Republic,5
625,"Piano Concerto in C-sharp Minor, FP 146",Piano Concerto,Francis Poulenc,1949,20th Century,France,5
626,"Concerto for Two Pianos (Piano Concerto No. 10), K. 365/316a",Double Concerto,Wolfgang Amadeus Mozart,1777,Classical,Austria,5
627,"Symphony No. 2 (The Four Temperaments), Op. 16, FS 29",Symphony,Carl Nielsen,1902,Late Romantic,Denmark,5
628,Cello Concerto No. 1,Cello Concerto,Krzysztof Penderecki,1972,Post-War,Poland,5
629,"Piano Sonata No. 7 in D Major, Op. 10 No. 3",Piano Sonata,Ludwig van Beethoven,1798,Early Romantic,Germany,5
630,"Violin Concerto, Op. 48",Violin Concerto,Dmitry Kabalevsky,1948,20th Century,Russia,5
631,"Symphony No. 104 in D Major, H. 1/104",Symphony,Joseph Haydn,1795,Classical,Austria,5
632,"Symphony No. 5 in B-flat Major, D. 485",Symphony,Franz Schubert,1816,Early Romantic,Austria,5
633,"Serenade No. 10 in B-flat Major (Gran Partita), 361/370a",Unsorted Orchestral,Wolfgang Amadeus Mozart,1782,Classical,Austria,4
634,"Piano Trio No. 4 in E Minor (Dumky trio), 90, B. 166",Piano Trio,Antonín Dvořák,1891,Romantic,Czech Republic,4
635,"Quintet for Piano and Winds, K. 452",Piano Quintet,Wolfgang Amadeus Mozart,1784,Classical,Austria,4
636,"Kol Nidrei (All Vows), Op. 47",Cello Concerto,Max Bruch,1880,Romantic,Germany,4
637,"Piano Trio No. 1 in B Major, Op. 8",Piano Trio,Johannes Brahms,1854,Romantic,Germany,4
638,Missa Prolationum,Mass / Requiem,Johannes Ockeghem,-1,Medieval-Renaissance,France,4
639,"Violin Romance No. 2 in F Major, Op. 50",Violin Concerto,Ludwig van Beethoven,1798,Early Romantic,Germany,4
640,"Images pour orchestre, L. 122",Unsorted Orchestral,Claude Debussy,1912,Late Romantic,France,4
641,"Harpsichord conceto No. 5 in F Minor, BWV 1050",Harpsichord conceto,Johann Sebastian Bach,1738,Baroque,Germany,4
642,Je vivroie liement,Lieder / Song,Guillaume de Machaut,-1,Medieval-Renaissance,France,4
643,Piano Concerto for the Left Hand in D Major,Piano Concerto,Maurice Ravel,1930,Late Romantic,France,4
644,"Clarinet Sonata No. 1 in F Minor, Op. 120",Clarinet Sonata,Johannes Brahms,1894,Romantic,Germany,4
645,"Symphony, Op. 21",Symphony,Anton Webern,1928,20th Century,Austria,4
646,"String Quartet No. 12 in E-flat Major, Op. 127",String Quartet,Ludwig van Beethoven,1825,Early Romantic,Germany,4
647,Stabat Mater,Choral orchestral,Gioachino Rossini,1841,Early Romantic,Italy,4
648,"Flute Sonatas, BWV 1030-1035",Flute Sonata,Johann Sebastian Bach,-1,Baroque,Germany,4
649,"Piano Concerto No. 3 in E Major, Sz. 119, BB 127",Piano Concerto,Béla Bartók,1945,20th Century,Hungary,4
650,"Violin Concerto in A Minor, Op. 82",Violin Concerto,Alexander Glazunov,1904,Late Romantic,Russia,4
651,"Piano Sonata No. 7 in B-flat Major (Stalingrad), Op. 83",Piano Sonata,Sergei Prokofiev,1942,20th Century,Russia,4
652,Funeral March in Memory of Rikard Nordraak,Unsorted Orchestral,Edvard Grieg,1866,Romantic,Norway,4
653,"Symphony in D Major, G. 521",Symphony,Luigi Boccherini,1790,Classical,Italy,4
654,"Années de pèlerinage (Years of Pilgrimage), S. 160-163",Piano Sonata,Franz Liszt,1835,Romantic,Hungary,4
655,"Gesänge der Frühe, Op. 133",Piano Sonata,Robert Schumann,1853,Romantic,Germany,4
656,Fantasia on Greensleeves,Unsorted Orchestral,Ralph Vaughan Williams,1934,Late Romantic,England,4
657,"Concerto for 2 Harpsichords in C Minor, BWV 1060",Double Concerto,Johann Sebastian Bach,-1,Baroque,Germany,4
658,"Konzertstück for 4 Horns and Orchestra, Op. 86",Unsorted Orchestral,Robert Schumann,1849,Romantic,Germany,4
659,The Frog Galliard,String solo,John Dowland,-1,Medieval-Renaissance,England,4
660,"Piano Concerto No. 3 in B Minor, Op. 89",Piano Concerto,Johann Nepomuk Hummel,1819,Early Romantic,Austria,4
661,"Children's Corner, L. 113",Piano Sonata,Claude Debussy,1908,Late Romantic,France,4
662,"Piano Sonata No. 10, Op. 70",Piano Sonata,Alexander Scriabin,1913,Late Romantic,Russia,4
663,Gurre-Lieder,Lieder / Song,Arnold Schoenberg,1910,20th Century,Austria,4
664,"L'estro Armonico, Op. 3",Violin Concerto,Antonio Vivaldi,1711,Baroque,Italy,4
665,Chôros,Unsorted Orchestral,Heitor Villa-Lobos,1929,20th Century,Brazil,4
666,Gesang der Jünglinge,Unsorted Orchestral,Karlheinz Stockhausen,1956,Post-War,Germany,4
667,"A trio for piano, clarinet and viola (Kegelstatt Trio), K. 498",Piano Trio,Wolfgang Amadeus Mozart,1786,Classical,Austria,4
668,"String Quartet No. 7 in F Major, Op. 59 No. 1",String Quartet,Ludwig van Beethoven,1808,Early Romantic,Germany,4
669,Semiramide,Opera,Gioachino Rossini,1823,Early Romantic,Italy,4
670,"Der Tod und das Mädchen, D. 531",Lieder / Song,Franz Schubert,1817,Early Romantic,Austria,4
671,Symphony No. 2 (A London Symphony),Symphony,Ralph Vaughan Williams,1913,Late Romantic,England,4
672,"Symphony No. 1 in A-flat Major, Op. 55",Symphony,Edward Elgar,1908,Late Romantic,England,4
673,"Herz und Mund und Tat und Leben, BWV 147",Choral orchestral,Johann Sebastian Bach,1723,Baroque,Germany,4
674,Quiet City,Unsorted Orchestral,Aaron Copland,1939,20th Century,United States,4
675,Five Variants of Dives and Lazarus,Unsorted Orchestral,Ralph Vaughan Williams,1939,Late Romantic,England,4
676,"Music for Mallet Instruments, Voices and Organ",Voice and Orchestra,Steve Reich,1973,Post-War,United States,4
677,"Requiem in B-flat Minor, Op. 89, B. 165",Mass / Requiem,Antonín Dvořák,1890,Romantic,Czech Republic,4
678,"Piano Concerto No. 2, Sz. 95, BB 101",Piano Concerto,Béla Bartók,1931,20th Century,Hungary,4
679,"4 Klavierstücke (Four Pieces for Piano), Op. 119",Piano Sonata,Johannes Brahms,1893,Romantic,Germany,4
680,"Divertimento for String Orchestra, Sz.113 BB.118",Unsorted Orchestral,Béla Bartók,1939,20th Century,Hungary,4
681,"Drei Klavierstücke, D. 946",Piano Sonata,Franz Schubert,1828,Early Romantic,Austria,4
682,"English Suites, BWV 806-811",Piano Sonata,Johann Sebastian Bach,1715,Baroque,Germany,4
683,"Symphony No. 1 in D Minor, Op. 13",Symphony,Sergei Rachmaninoff,1895,Late Romantic,Russia,4
684,"The Wood Nymph, Op. 15",Symphonic Poem,Jean Sibelius,1894,Late Romantic,Finland,4
685,Requiem in D Minor,Mass / Requiem,Luigi Cherubini,1836,Early Romantic,Italy,4
686,"Première rhapsodie, L. 116",Clarinet Sonata,Claude Debussy,1910,Late Romantic,France,4
687,"Ballade No. 2 in B Minor, S. 171",Piano Sonata,Franz Liszt,1853,Romantic,Hungary,4
688,"Leonore Overture No. 3, Op. 72b",Unsorted Orchestral,Ludwig van Beethoven,1805,Early Romantic,Germany,4
689,The Three-Cornered Hat (El Sombrero de Tres Picos),Ballet,Manuel de Falla,1919,20th Century,Spain,4
690,"Symphony No. 4, S. 4 (K. 1A4)",Symphony,Charles Ives,1924,20th Century,United States,4
691,"Symphony No. 8 in C Minor, Op. 65",Symphony,Dmitri Shostakovich,1943,20th Century,Russia,4
692,"Piano Concerto No. 4 in C Minor, Op. 44",Piano Concerto,Camille Saint-Saëns,1875,Romantic,France,4
693,"Violin Sonata No. 1 in F Minor, Op. 80",Violin Sonata,Sergei Prokofiev,1946,20th Century,Russia,4
694,"The Bartered Bride (Prodaná nevěsta), JB 1:100",Opera,Bedřich Smetana,1866,Romantic,Czech Republic,4
695,"Harmonies poétiques et religieuses, S. 173",Piano Sonata,Franz Liszt,1847,Romantic,Hungary,4
696,"Violin Concerto, Op. 36",Violin Concerto,Arnold Schoenberg,1936,20th Century,Austria,4
697,"Organ in B Minor, Prélude, Fugue et Variation",Organ,César Franck,1862,Romantic,Belgium,4
698,"Was mir behagt, ist nur die muntre Jagd (Hunting Cantata), BWV 208",Voice and Orchestra,Johann Sebastian Bach,1713,Baroque,Germany,4
699,Rapsodie espagnole,Unsorted Orchestral,Maurice Ravel,1908,Late Romantic,France,4
700,Concerto Grosso No. 1,Unsorted Orchestral,Alfred Schnittke,1977,Post-War,Russia,4
701,"Fantaisie in F Minor, Op. 49",Piano Sonata,Frédéric Chopin,1841,Romantic,Poland,4
702,"Violin Sonata in E Minor, Op. 82",Violin Sonata,Edward Elgar,1918,Late Romantic,England,4
703,"Wesendonck Lieder (Fünf Gedichte für eine Frauenstimme), WWV 91",Lieder / Song,Richard Wagner,1858,Romantic,Germany,4
704,Valses Poéticos,Piano Sonata,Enrique Granados,1887,Late Romantic,Spain,4
705,Des canyons aux étoiles...,Unsorted Orchestral,Olivier Messiaen,1974,20th Century,France,4
706,"Viola Sonata, Op. 147",Unsorted Chamber,Dmitri Shostakovich,1975,20th Century,Russia,4
707,Parade,Ballet,Erik Satie,1917,Late Romantic,France,4
708,Socrate,Voice and Orchestra,Erik Satie,1918,Late Romantic,France,4
709,"Hungarian Sketches, Sz. 97",Unsorted Orchestral,Béla Bartók,1931,20th Century,Hungary,4
710,"Danse sacrée et danse profane, L. 103",Unsorted Orchestral,Claude Debussy,1904,Late Romantic,France,4
711,Embryons desséchés,Piano Sonata,Erik Satie,1913,Late Romantic,France,4
712,"Diversions for Piano Left Hand and Orchestra, Op. 21",Piano Concerto,Benjamin Britten,1940,20th Century,England,4
713,Einstein on the Beach,Opera,Philip Glass,1975,Post-War,United States,4
714,Requiem,Mass / Requiem,Alfred Schnittke,1975,Post-War,Russia,4
715,Für Alina,Piano Sonata,Arvo Pärt,1976,Post-War,Estonia,4
716,"String Quartet No. 3 in D Major, Op. 44 No. 1",String Quartet,Felix Mendelssohn,1838,Romantic,Germany,4
717,Simon Boccanegra,Opera,Giuseppe Verdi,1857,Romantic,Italy,4
718,Cuban Overture,Unsorted Orchestral,George Gershwin,1932,20th Century,United States,4
719,"Suite No. 1 (Fantaisie-Tableaux), Op. 5",Piano duet / Piano four hands,Sergei Rachmaninoff,1893,Late Romantic,Russia,4
720,"Piano Trio No. 2 in E Minor, Op. 92",Piano Trio,Camille Saint-Saëns,1892,Romantic,France,4
721,"Symphony No. 5 in B-flat Major (The Heroic), Op. 55",Symphony,Alexander Glazunov,1895,Late Romantic,Russia,4
722,Violin Concerto,Violin Concerto,György Ligeti,1990,Post-War,Hungary,4
723,Prelude in C-sharp Minor,Piano Sonata,Frédéric Chopin,1841,Romantic,Poland,4
724,"Kullervo, Op. 7",Unsorted Orchestral,Jean Sibelius,1892,Late Romantic,Finland,4
725,"Lieutenant Kijé, Op. 60",Unsorted Orchestral,Sergei Prokofiev,1934,20th Century,Russia,4
726,"Piano Quintet in C Major, Sz. 23",Piano Quintet,Béla Bartók,1904,20th Century,Hungary,4
727,"Petite Suite, L. 65",Piano duet / Piano four hands,Claude Debussy,1889,Late Romantic,France,4
728,"Forgotten Melodies, Op. 38-39",Piano Sonata,Nikolai Medtner,1922,Late Romantic,Russia,4
729,Stiffelio,Opera,Giuseppe Verdi,1850,Romantic,Italy,4
730,"Piano Sonata, Sz. 80",Piano Sonata,Béla Bartók,1926,20th Century,Hungary,4
731,"String Trios, Op. 9",String Trio,Ludwig van Beethoven,1798,Early Romantic,Germany,4
732,"Piano Trio in B-flat Major (Gassenhauer), Op. 11",Piano Trio,Ludwig van Beethoven,1797,Early Romantic,Germany,4
733,A Sea Symphony (Symphony No. 1),Symphony,Ralph Vaughan Williams,1909,Late Romantic,England,4
734,String Quartet No. 3 (Mishima),String Quartet,Philip Glass,1985,Post-War,United States,4
735,Oiseaux Exotiques,Unsorted Orchestral,Olivier Messiaen,1956,20th Century,France,4
736,Piano Concerto No. 2 in E-flat Major,Piano Concerto,Mily Balakirev,1862,Romantic,Russia,4
737,"Symphony No. 4 in E-flat Major, Op. 48",Symphony,Alexander Glazunov,1893,Late Romantic,Russia,4
738,"Nightride and Sunrise, Op. 55",Symphonic Poem,Jean Sibelius,1908,Late Romantic,Finland,4
739,"String Quartet No. 4 in C Minor, Op. 18 No. 4",String Quartet,Ludwig van Beethoven,1800,Early Romantic,Germany,4
740,Variations on a Theme of Paganini,Piano Concerto,Witold Lutosławski,1941,Post-War,Poland,4
741,"Symphony No. 5 (Reformation), Op. 107",Symphony,Felix Mendelssohn,1830,Romantic,Germany,4
742,"Symphony No. 4 (The Inextinguishable), Op. 29, FS 76",Symphony,Carl Nielsen,1916,Late Romantic,Denmark,4
743,"Manfred Symphony in B Minor, Op. 58",Symphony,Pyotr Ilyich Tchaikovsky,1885,Romantic,Russia,4
744,"Symphony No. 3 in D Minor, WAB 103",Symphony,Anton Bruckner,1873,Romantic,Austria,4
745,"Symphony No. 1 in E Minor, Op. 39",Symphony,Jean Sibelius,1899,Late Romantic,Finland,4
746,"Symphony No. 6 in D Major, Op. 60, B. 112",Symphony,Antonín Dvořák,1880,Romantic,Czech Republic,4
747,"Lieder (Five Songs), Op. 49",Lieder / Song,Johannes Brahms,1868,Romantic,Germany,4
748,"Symphony No. 44 in E Minor (Trauer), Hob. I/44",Symphony,Joseph Haydn,1772,Classical,Austria,4
749,"Préludes (Book 2), L. 123",Piano Sonata,Claude Debussy,1913,Late Romantic,France,3
750,"String Quartet No. 15 in G Major, D. 887",String Quartet,Franz Schubert,1826,Early Romantic,Austria,3
751,Lyric Suite,String Quartet,Alban Berg,1926,20th Century,Austria,3
752,Piano Quintet in C Major,Piano Quintet,Nikolai Medtner,1948,Late Romantic,Russia,3
753,"Cello Sonata, L. 135",Cello Sonata,Claude Debussy,1915,Late Romantic,France,3
754,"Der Rosenkavalier (The Knight of the Rose), Op. 59",Opera,Richard Strauss,1911,Late Romantic,Germany,3
755,Les Indes galantes,Ballet,Jean-Philippe Rameau,1735,Baroque,France,3
756,"String Quartet in C Minor, Op. 51 No. 1",String Quartet,Johannes Brahms,1873,Romantic,Germany,3
757,"Violin Romance No. 1 in G Major, Op. 40",Violin Concerto,Ludwig van Beethoven,1802,Early Romantic,Germany,3
758,"Violin Concerto, Op. 2",Violin Concerto,Franz Berwald,1820,Early Romantic,Sweden,3
759,"String Quartet No. 1 in G Minor, Op. 27",String Quartet,Edvard Grieg,1878,Romantic,Norway,3
760,"Davidsbündlertänze (Dances of the League of David), Op. 6",Piano Sonata,Robert Schumann,1837,Romantic,Germany,3
761,"Music for the Funeral of Queen Mary, Z. 860",Choral orchestral,Henry Purcell,1695,Baroque,England,3
762,Qui habitat in adiutorio Altissimi,Chant,Josquin des Prez,-1,Medieval-Renaissance,Belgium,3
763,"Viola Concerto in G Major, TWV 51:G9",Viola Concerto,Georg Philipp Telemann,-1,Baroque,Germany,3
764,Lamentations of Jeremiah (Lamentationum),Chant,Giovanni Pierluigi da Palestrina,-1,Medieval-Renaissance,Italy,3
765,Violin Concerto in D Major,Violin Concerto,Igor Stravinsky,1931,20th Century,Russia,3
766,"Piano Quartet No. 1 in G Minor, Op. 25",Piano Quartet,Johannes Brahms,1861,Romantic,Germany,3
767,"Violin Sonata in G Minor, L. 140",Violin Sonata,Claude Debussy,1917,Late Romantic,France,3
768,"String Quartet No. 5, Sz. 102, BB 110",String Quartet,Béla Bartók,1934,20th Century,Hungary,3
